ctype,quotedate,0.0833YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR
pwcf,19800131.0,0.8385064925491292,1.0845826557614568,0.9924947666576368,0.9502109168505246,0.9057233822062472,0.8807354877466533,0.8771466223770785,0.8761306548643599,0.8651384881134927,0.8510764971402907
pwcf,19800229.0,0.942382997267366,1.0187919318922931,0.9629886976594504,0.9270131519113712,0.8916423529562234,0.878542142307337,0.8831225237361462,0.8868514364227309,0.8857545042943116,0.8783342902089819
pwcf,19800331.0,1.2364664371884215,1.2957248959767351,1.281974728249935,1.2495207632405858,1.176799089093472,1.1231370225524673,1.103225713056344,1.0838820732057997,1.0478073057312631,1.0303997766410555
pwcf,19800430.0,1.3326539922528855,1.3512159480151942,1.296465085079168,1.215164516167655,1.131309097223876,1.0682450982880898,1.0440940044626368,1.0371037749664411,1.0242928857757905,1.0093792832872597
pwcf,19800530.0,0.7873842233713235,0.9347333623109356,0.8993445160632607,0.8689885808315534,0.8598553025215727,0.8636043249957703,0.872314688098963,0.8839301926440779,0.8898825571741265,0.8800485223314114
pwcf,19800630.0,0.6530074345349801,0.7171705051870925,0.749735360587156,0.774335030386375,0.7923872106152308,0.821949534437727,0.8443952093427853,0.8655497236378373,0.8842074616834728,0.8819034443980911
pwcf,19800731.0,0.5413095057267281,0.7161448575040197,0.7243700644298912,0.772225042098218,0.7860684534125806,0.809699280264975,0.8278785415271273,0.8495344498921531,0.861373048056735,0.8507031784317443
pwcf,19800829.0,0.6221496561883866,0.723532569708274,0.729312675847682,0.7726712861602314,0.7883301922508856,0.8101691390841381,0.8253499844358414,0.8480368840609431,0.8611606973593089,0.8502455525187136
pwcf,19800930.0,0.8558184448699935,0.9564074471066776,0.9966095352460512,1.0096780019663187,1.0163519921844388,1.0171975804743385,1.0137015317295717,1.012552585184423,1.0012614816053975,0.9847733482398092
pwcf,19801031.0,0.9821767982439944,1.0407880956512685,1.038217751219217,1.0271024955601504,1.0192619185457108,1.0108877616982648,1.0051922544391134,1.0108180196777727,1.0088923593019716,0.9986905813421876
pwcf,19801128.0,0.931390001794763,1.0399651861583423,1.0315348505848698,0.9952117523284398,0.9870499123426856,0.971983426433254,0.95893954927313,0.9567805878344826,0.9485688671377224,0.9408026425827832
pwcf,19801231.0,1.4234417344762829,1.3853559421795447,1.3321130894127895,1.2505589124604422,1.219538977122614,1.1779631286045422,1.1474487922354282,1.1410642162088314,1.1232703484710171,1.1050567459470084
pwcf,19810130.0,1.1232480073186446,1.251917284571635,1.1109341351670745,1.0549650947704992,1.040043969946769,1.0244801978903206,1.0146472752162294,1.013317710494421,0.9929872829619324,0.9784421624514206
pwcf,19810227.0,1.1393735898109991,1.153750380219809,1.081127339014798,1.0085980133523575,0.9893276341386592,0.9757649985074668,0.9706569916980934,0.9677737517673536,0.9499171300523246,0.9296580753755724
pwcf,19810331.0,1.3060037887914433,1.3142919373431372,1.250518645977583,1.204396280744957,1.201943403843253,1.1906015635537726,1.1784034670826893,1.170138048473568,1.1415539439775912,1.1319149760665503
pwcf,19810430.0,1.1335442191880318,1.0712278792267549,1.0748510203556938,1.0713028487485232,1.0869248394940856,1.087556331820383,1.0805657851424622,1.0751425832081551,1.0500404435294095,1.0301261425593733
pwcf,19810529.0,1.1728227991010476,1.241749939443748,1.1982178618634045,1.1632564004352863,1.1533476138317456,1.1378643829179858,1.126958731519867,1.1179539568479724,1.092315088567375,1.0785258348995796
pwcf,19810630.0,1.5339676108259592,1.3783303923840862,1.325019583829001,1.2758523658856546,1.24555283716421,1.2099215254248064,1.1877179860392273,1.177777986575057,1.1546248359895372,1.12909184097989
pwcf,19810731.0,1.3058432059545266,1.3027998311740063,1.249176251300943,1.2331632823073368,1.2145162054984615,1.1947846072335455,1.1840314708174926,1.1723984710573898,1.138040403358298,1.1194024825907034
pwcf,19810831.0,1.3757291863413237,1.4059201991477588,1.3760547813983948,1.331849601994195,1.3126380005570093,1.2813359738695684,1.2578645723627435,1.2393523183422903,1.2023374755365968,1.1805257928655832
pwcf,19810930.0,1.3292225115834944,1.3986944880432617,1.3802041488033323,1.359859297011301,1.3313163352763668,1.3010589955760432,1.284170139316898,1.2671985898434768,1.237243350795425,1.2122294749952631
pwcf,19811030.0,1.2079345943397657,1.3340293153736529,1.338219985651934,1.3637242127824578,1.3487364314301642,1.3244839087278582,1.306785992905768,1.2980854675638698,1.275259290347841,1.2446856901229708
pwcf,19811130.0,1.1577876308471735,1.2066473602656336,1.232857459825265,1.236344334124606,1.246597970897767,1.253707195555975,1.2570774217515843,1.2527319187517485,1.2331359099862826,1.2142872649111514
pwcf,19811231.0,0.9236698194219796,0.95455416955339,0.989875319004363,1.0457151668024078,1.0729728728098964,1.0941291062143588,1.1037346365048828,1.1044674646268682,1.0966422525298558,1.074129827772996
pwcf,19820129.0,0.7941281156977675,1.0219744996645683,1.086901903184856,1.1056136382115778,1.1134428986987466,1.1176537838489595,1.1190382194718795,1.117540754167856,1.1038542954546535,1.076636954126009
pwcf,19820226.0,0.9715948258157914,1.0514146474372987,1.0885312797046298,1.091427119691768,1.0949937314534974,1.0938363803588036,1.0915283847907409,1.0907925516880912,1.076230067780526,1.0624980415094187
pwcf,19820331.0,1.1335578595086382,1.2496123670432624,1.277582656095788,1.2890816043172215,1.2847852097048529,1.2738774313842294,1.2651823418944774,1.267893522235708,1.2671484867811778,1.238911875183013
pwcf,19820430.0,1.1783073969162228,1.1767411894389124,1.1749836989287,1.187991938596089,1.184023587906502,1.1775783173126664,1.1729009191429052,1.160666551406253,1.1385929974127462,1.1092501423850545
pwcf,19820528.0,0.996256938107032,1.0425907738260465,1.0556887288341257,1.072950917274018,1.065712226221982,1.062465380003741,1.063138519935336,1.05086617811454,1.0331343601114984,1.0154120787296383
pwcf,19820630.0,1.0935394995605474,1.1422740321766156,1.1874007932217712,1.2228142455563915,1.2334827960843953,1.241958360469897,1.245872079280086,1.2348039912527309,1.21724302667372,1.1999919169846551
pwcf,19820730.0,1.00199042029967,1.1813235661952692,1.196149696235782,1.2073462118473266,1.206705541521269,1.2023028684768011,1.1980763100416958,1.1817647917416574,1.1528173069165648,1.1369288392066412
pwcf,19820831.0,0.820132875157431,1.066704362386406,1.1292031608483466,1.1635661393462726,1.1817018487011444,1.1958007737815413,1.2018626537431354,1.1926553827112718,1.1795409126025058,1.1612889133890911
pwcf,19820930.0,0.5292649266859462,0.8120649226778909,0.9357097736801824,0.992345967692776,1.0202697779217784,1.040113544572585,1.047200929735559,1.0360559798035185,1.02490567148541,1.0100078123842504
pwcf,19821029.0,0.5799247583552436,0.7465714415568092,0.8285161975525535,0.9075728490180568,0.9263216191803592,0.9421427443178088,0.949746023239184,0.942702141416074,0.930702839941544,0.9122600265694558
pwcf,19821130.0,0.7089115117366207,0.7754110428029204,0.8226468734376047,0.8913483281393297,0.922514420524556,0.9469273404348666,0.9573010157498452,0.9510005931847364,0.9480261276088696,0.8940526447564823
